Date,Type,Name,Distance,Latitude,Longitude
2017-07-19,Ride,Evening Ride,4.57,50.1579,14.746
2017-07-19,Ride,Evening Ride,4.57,50.155,14.7465
2017-07-19,Ride,Evening Ride,4.57,50.1536,14.7508
2017-07-19,Ride,Evening Ride,4.57,50.1498,14.75
2017-07-19,Ride,Evening Ride,4.57,50.1533,14.7507
2017-07-19,Ride,Evening Ride,4.57,50.1576,14.7522
2017-07-19,Ride,Evening Ride,4.57,50.1571,14.7454
2017-07-19,Ride,Evening Ride,4.57,50.1564,14.742
2017-07-19,Ride,Evening Ride,4.57,50.1573,14.7437
2017-07-20,Ride,Lhota (L),36.46,50.1586,14.7459
2017-07-20,Ride,Lhota (L),36.46,50.1614,14.7448
2017-07-20,Ride,Lhota (L),36.46,50.1649,14.7433
2017-07-20,Ride,Lhota (L),36.46,50.1688,14.738
2017-07-20,Ride,Lhota (L),36.46,50.1737,14.733
2017-07-20,Ride,Lhota (L),36.46,50.1742,14.7252
2017-07-20,Ride,Lhota (L),36.46,50.1735,14.7224
2017-07-20,Ride,Lhota (L),36.46,50.1757,14.7264
2017-07-20,Ride,Lhota (L),36.46,50.1782,14.7323
2017-07-20,Ride,Lhota (L),36.46,50.1825,14.7323
2017-07-20,Ride,Lhota (L),36.46,50.1861,14.7341
2017-07-20,Ride,Lhota (L),36.46,50.1887,14.7407
2017-07-20,Ride,Lhota (L),36.46,50.1927,14.7438
2017-07-20,Ride,Lhota (L),36.46,50.1974,14.7448
2017-07-20,Ride,Lhota (L),36.46,50.2021,14.7457
2017-07-20,Ride,Lhota (L),36.46,50.206,14.7466
2017-07-20,Ride,Lhota (L),36.46,50.2105,14.7445
2017-07-20,Ride,Lhota (L),36.46,50.2147,14.7426
2017-07-20,Ride,Lhota (L),36.46,50.2183,14.7393
2017-07-20,Ride,Lhota (L),36.46,50.2214,14.7341
2017-07-20,Ride,Lhota (L),36.46,50.2241,14.7297
2017-07-20,Ride,Lhota (L),36.46,50.2259,14.7238
2017-07-20,Ride,Lhota (L),36.46,50.2266,14.7181
2017-07-20,Ride,Lhota (L),36.46,50.2306,14.7109
2017-07-20,Ride,Lhota (L),36.46,50.2345,14.705
2017-07-20,Ride,Lhota (L),36.46,50.2348,14.6992
2017-07-20,Ride,Lhota (L),36.46,50.2364,14.6915
2017-07-20,Ride,Lhota (L),36.46,50.2392,14.686
2017-07-20,Ride,Lhota (L),36.46,50.2401,14.6791
2017-07-20,Ride,Lhota (L),36.46,50.2416,14.6737
2017-07-20,Ride,Lhota (L),36.46,50.244,14.6721
2017-07-20,Ride,Lhota (L),36.46,50.2425,14.6741
2017-07-20,Ride,Lhota (L),36.46,50.2402,14.6773
2017-07-20,Ride,Lhota (L),36.46,50.2394,14.6847
2017-07-20,Ride,Lhota (L),36.46,50.2374,14.6892
2017-07-20,Ride,Lhota (L),36.46,50.2353,14.6947
2017-07-20,Ride,Lhota (L),36.46,50.2348,14.7007
2017-07-20,Ride,Lhota (L),36.46,50.2334,14.7065
2017-07-20,Ride,Lhota (L),36.46,50.2293,14.713
2017-07-20,Ride,Lhota (L),36.46,50.2266,14.7193
2017-07-20,Ride,Lhota (L),36.46,50.226,14.7245
2017-07-20,Ride,Lhota (L),36.46,50.2238,14.7301
2017-07-20,Ride,Lhota (L),36.46,50.2205,14.7355
2017-07-20,Ride,Lhota (L),36.46,50.2185,14.7409
2017-07-20,Ride,Lhota (L),36.46,50.2202,14.7452
2017-07-20,Ride,Lhota (L),36.46,50.2209,14.7533
2017-07-20,Ride,Lhota (L),36.46,50.2221,14.7611
2017-07-20,Ride,Lhota (L),36.46,50.2186,14.7639
2017-07-20,Ride,Lhota (L),36.46,50.2135,14.7654
2017-07-20,Ride,Lhota (L),36.46,50.2087,14.7679
2017-07-20,Ride,Lhota (L),36.46,50.2042,14.7645
2017-07-20,Ride,Lhota (L),36.46,50.1994,14.7619
